Data,Hora,kW,kWh
230609,14:15:00,869,217.25
230609,14:30:00,686,171.5
230609,14:45:00,620,155.0
230609,15:00:00,628,157.0
230609,15:15:00,627,156.75
230609,15:30:00,572,143.0
230609,15:45:00,539,134.75
230609,16:00:00,581,145.25
230609,16:15:00,734,183.5
230609,16:30:00,666,166.5
230609,16:45:00,313,78.25
230609,17:00:00,463,115.75
230609,17:15:00,514,128.5
230609,17:30:00,635,158.75
230609,17:45:00,487,121.75
230609,18:00:00,386,96.5
230609,18:15:00,429,107.25
230609,18:30:00,264,66.0
230609,18:45:00,203,50.75
230609,19:00:00,135,33.75
230609,19:15:00,100,25.0
230609,19:30:00,64,16.0
230609,19:45:00,38,9.5
230609,20:00:00,40,10.0
230609,20:15:00,20,5.0
230609,20:30:00,9,2.25
230609,20:45:00,1,0.25
230609,21:00:00,0,0.0
230609,21:15:00,0,0.0
230609,21:30:00,0,0.0
230609,21:45:00,0,0.0
230609,22:00:00,0,0.0
230609,22:15:00,0,0.0
230609,22:30:00,0,0.0
230609,22:45:00,0,0.0
230609,23:00:00,0,0.0
230609,23:15:00,0,0.0
230609,23:30:00,0,0.0
230609,23:45:00,0,0.0
230610,00:00:00,0,0.0
230610,00:15:00,0,0.0
230610,00:30:00,0,0.0
230610,00:45:00,0,0.0
230610,01:00:00,0,0.0
230610,01:15:00,0,0.0
230610,01:30:00,0,0.0
230610,01:45:00,0,0.0
230610,02:00:00,0,0.0
230610,02:15:00,0,0.0
230610,02:30:00,0,0.0
230610,02:45:00,0,0.0
230610,03:00:00,0,0.0
230610,03:15:00,0,0.0
230610,03:30:00,0,0.0
230610,03:45:00,0,0.0
230610,04:00:00,0,0.0
230610,04:15:00,0,0.0
230610,04:30:00,0,0.0
230610,04:45:00,0,0.0
230610,05:00:00,0,0.0
230610,05:15:00,0,0.0
230610,05:30:00,0,0.0
230610,05:45:00,0,0.0
230610,06:00:00,0,0.0
230610,06:15:00,0,0.0
230610,06:30:00,0,0.0
230610,06:45:00,5,1.25
230610,07:00:00,18,4.5
230610,07:15:00,20,5.0
230610,07:30:00,23,5.75
230610,07:45:00,32,8.0
230610,08:00:00,71,17.75
230610,08:15:00,107,26.75
230610,08:30:00,132,33.0
230610,08:45:00,137,34.25
230610,09:00:00,186,46.5
230610,09:15:00,276,69.0
230610,09:30:00,251,62.75
230610,09:45:00,112,28.0
230610,10:00:00,434,108.5
230610,10:15:00,454,113.5
230610,10:30:00,353,88.25
230610,10:45:00,632,158.0
230610,11:00:00,616,154.0
230610,11:15:00,390,97.5
230610,11:30:00,710,177.5
230610,11:45:00,763,190.75
230610,12:00:00,815,203.75
230610,12:15:00,893,223.25
230610,12:30:00,951,237.75
230610,12:45:00,498,124.5
230610,13:00:00,793,198.25
230610,13:15:00,683,170.75
230610,13:30:00,984,246.0
230610,13:45:00,930,232.5
230610,14:00:00,556,139.0
230610,14:15:00,842,210.5
230610,14:30:00,892,223.0
230610,14:45:00,785,196.25
230610,15:00:00,593,148.25
230610,15:15:00,739,184.75
230610,15:30:00,474,118.5
230610,15:45:00,378,94.5
230610,16:00:00,293,73.25
230610,16:15:00,259,64.75
230610,16:30:00,241,60.25
230610,16:45:00,257,64.25
230610,17:00:00,246,61.5
230610,17:15:00,206,51.5
230610,17:30:00,558,139.5
230610,17:45:00,506,126.5
230610,18:00:00,434,108.5
230610,18:15:00,404,101.0
230610,18:30:00,381,95.25
230610,18:45:00,176,44.0
230610,19:00:00,145,36.25
230610,19:15:00,205,51.25
230610,19:30:00,187,46.75
230610,19:45:00,132,33.0
230610,20:00:00,84,21.0
230610,20:15:00,37,9.25
230610,20:30:00,14,3.5
230610,20:45:00,2,0.5
230610,21:00:00,0,0.0
230610,21:15:00,0,0.0
230610,21:30:00,0,0.0
230610,21:45:00,0,0.0
230610,22:00:00,0,0.0
230610,22:15:00,0,0.0
230610,22:30:00,0,0.0
230610,22:45:00,0,0.0
230610,23:00:00,0,0.0
230610,23:15:00,0,0.0
230610,23:30:00,0,0.0
230610,23:45:00,0,0.0
230611,00:00:00,0,0.0
230611,00:15:00,0,0.0
230611,00:30:00,0,0.0
230611,00:45:00,0,0.0
230611,01:00:00,0,0.0
230611,01:15:00,0,0.0
230611,01:30:00,0,0.0
230611,01:45:00,0,0.0
230611,02:00:00,0,0.0
230611,02:15:00,0,0.0
230611,02:30:00,0,0.0
230611,02:45:00,0,0.0
230611,03:00:00,0,0.0
230611,03:15:00,0,0.0
230611,03:30:00,0,0.0
230611,03:45:00,0,0.0
230611,04:00:00,0,0.0
230611,04:15:00,0,0.0
230611,04:30:00,0,0.0
230611,04:45:00,0,0.0
230611,05:00:00,0,0.0
230611,05:15:00,0,0.0
230611,05:30:00,0,0.0
230611,05:45:00,0,0.0
230611,06:00:00,0,0.0
230611,06:15:00,0,0.0
230611,06:30:00,0,0.0
230611,06:45:00,1,0.25
230611,07:00:00,15,3.75
230611,07:15:00,62,15.5
230611,07:30:00,63,15.75
230611,07:45:00,45,11.25
230611,08:00:00,75,18.75
230611,08:15:00,78,19.5
230611,08:30:00,125,31.25
230611,08:45:00,114,28.5
230611,09:00:00,154,38.5
230611,09:15:00,256,64.0
230611,09:30:00,286,71.5
230611,09:45:00,273,68.25
230611,10:00:00,291,72.75
230611,10:15:00,436,109.0
230611,10:30:00,508,127.0
230611,10:45:00,560,140.0
230611,11:00:00,617,154.25
230611,11:15:00,673,168.25
230611,11:30:00,725,181.25
230611,11:45:00,770,192.5
230611,12:00:00,810,202.5
230611,12:15:00,846,211.5
230611,12:30:00,877,219.25
230611,12:45:00,903,225.75
230611,13:00:00,926,231.5
230611,13:15:00,945,236.25
230611,13:30:00,962,240.5
230611,13:45:00,969,242.25
230611,14:00:00,975,243.75
230611,14:15:00,660,165.0
230611,14:30:00,1031,257.75
230611,14:45:00,1000,250.0
230611,15:00:00,707,176.75
230611,15:15:00,379,94.75
230611,15:30:00,813,203.25
230611,15:45:00,948,237.0
230611,16:00:00,915,228.75
230611,16:15:00,877,219.25
230611,16:30:00,830,207.5
230611,16:45:00,786,196.5
230611,17:00:00,738,184.5
230611,17:15:00,696,174.0
230611,17:30:00,648,162.0
230611,17:45:00,516,129.0
230611,18:00:00,430,107.5
230611,18:15:00,295,73.75
230611,18:30:00,350,87.5
230611,18:45:00,303,75.75
230611,19:00:00,249,62.25
230611,19:15:00,180,45.0
230611,19:30:00,85,21.25
230611,19:45:00,76,19.0
230611,20:00:00,65,16.25
230611,20:15:00,34,8.5
230611,20:30:00,9,2.25
230611,20:45:00,0,0.0
230611,21:00:00,0,0.0
230611,21:15:00,0,0.0
230611,21:30:00,0,0.0
230611,21:45:00,0,0.0
230611,22:00:00,0,0.0
230611,22:15:00,0,0.0
230611,22:30:00,0,0.0
230611,22:45:00,0,0.0
230611,23:00:00,0,0.0
230611,23:15:00,0,0.0
230611,23:30:00,0,0.0
230611,23:45:00,0,0.0
230612,00:00:00,0,0.0
230612,00:15:00,0,0.0
230612,00:30:00,0,0.0
230612,00:45:00,0,0.0
230612,01:00:00,0,0.0
230612,01:15:00,0,0.0
230612,01:30:00,0,0.0
230612,01:45:00,0,0.0
230612,02:00:00,0,0.0
230612,02:15:00,0,0.0
230612,02:30:00,0,0.0
230612,02:45:00,0,0.0
230612,03:00:00,0,0.0
230612,03:15:00,0,0.0
230612,03:30:00,0,0.0
230612,03:45:00,0,0.0
230612,04:00:00,0,0.0
230612,04:15:00,0,0.0
230612,04:30:00,0,0.0
230612,04:45:00,0,0.0
230612,05:00:00,0,0.0
230612,05:15:00,0,0.0
230612,05:30:00,0,0.0
230612,05:45:00,0,0.0
230612,06:00:00,0,0.0
230612,06:15:00,0,0.0
230612,06:30:00,0,0.0
230612,06:45:00,1,0.25
230612,07:00:00,11,2.75
230612,07:15:00,26,6.5
230612,07:30:00,48,12.0
230612,07:45:00,61,15.25
230612,08:00:00,112,28.0
230612,08:15:00,130,32.5
230612,08:30:00,86,21.5
230612,08:45:00,125,31.25
230612,09:00:00,198,49.5
230612,09:15:00,251,62.75
230612,09:30:00,212,53.0
230612,09:45:00,285,71.25
230612,10:00:00,303,75.75
230612,10:15:00,313,78.25
230612,10:30:00,451,112.75
230612,10:45:00,446,111.5
230612,11:00:00,572,143.0
230612,11:15:00,523,130.75
230612,11:30:00,582,145.5
230612,11:45:00,563,140.75
230612,12:00:00,609,152.25
230612,12:15:00,807,201.75
230612,12:30:00,867,216.75
230612,12:45:00,842,210.5
230612,13:00:00,890,222.5
230612,13:15:00,925,231.25
230612,13:30:00,948,237.0
230612,13:45:00,997,249.25
230612,14:00:00,493,123.25
230612,14:15:00,825,206.25
230612,14:30:00,1026,256.5
230612,14:45:00,872,218.0
230612,15:00:00,913,228.25
230612,15:15:00,564,141.0
230612,15:30:00,969,242.25
230612,15:45:00,806,201.5
230612,16:00:00,900,225.0
230612,16:15:00,845,211.25
230612,16:30:00,827,206.75
230612,16:45:00,782,195.5
230612,17:00:00,706,176.5
230612,17:15:00,693,173.25
230612,17:30:00,628,157.0
230612,17:45:00,543,135.75
230612,18:00:00,458,114.5
230612,18:15:00,452,113.0
230612,18:30:00,409,102.25
230612,18:45:00,298,74.5
230612,19:00:00,232,58.0
230612,19:15:00,87,21.75
230612,19:30:00,113,28.25
230612,19:45:00,71,17.75
230612,20:00:00,40,10.0
230612,20:15:00,15,3.75
230612,20:30:00,7,1.75
230612,20:45:00,1,0.25
230612,21:00:00,0,0.0
230612,21:15:00,0,0.0
230612,21:30:00,0,0.0
230612,21:45:00,0,0.0
230612,22:00:00,0,0.0
230612,22:15:00,0,0.0
230612,22:30:00,0,0.0
230612,22:45:00,0,0.0
230612,23:00:00,0,0.0
230612,23:15:00,0,0.0
230612,23:30:00,0,0.0
230612,23:45:00,0,0.0
230613,00:00:00,0,0.0
Total Sum,,157966,39491.5
